cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
DELFINO,Operante,-10.455000000000000000000000000000,-41.206944440000000000000000000000,-41.206944440000000000000000000000,A443,BA
VALENCA,Operante,-13.343611100000000000000000000000,-39.126666660000000000000000000000,-39.126666660000000000000000000000,A444,BA
IPIAU,Operante,-14.171388880000000000000000000000,-39.692499990000000000000000000000,-39.692499990000000000000000000000,A445,BA
ITAPETINGA,Operante,-15.244722210000000000000000000000,-40.229444430000000000000000000000,-40.229444430000000000000000000000,A446,BA
BELMONTE,Operante,-16.088055550000000000000000000000,-39.215277770000000000000000000000,-39.215277770000000000000000000000,A447,BA
CURACA,Operante,-9.001388880000000000000000000000,-39.912500000000000000000000000000,-39.912500000000000000000000000000,A448,BA
JEREMOABO,Operante,-10.080833320000000000000000000000,-38.345833330000000000000000000000,-38.345833330000000000000000000000,A450,BA
ITABAIANA,Pane,-10.671666660000000000000000000000,-37.471388880000000000000000000000,-37.471388880000000000000000000000,A451,SE
FORMOSA DO RIO PRETO,Pane,-11.052222220000000000000000000000,-45.200833330000000000000000000000,-45.200833330000000000000000000000,A452,BA
NOSSA SENHORA DA GLORIA,Operante,-10.207777770000000000000000000000,-37.431944430000000000000000000000,-37.431944430000000000000000000000,A453,SE
ITAMARAJU,Operante,-17.006944440000000000000000000000,-39.558055550000000000000000000000,-39.558055550000000000000000000000,A455,BA
SALVADOR (RADIO FAROL),Operante,-12.808333330000000000000000000000,-38.495833330000000000000000000000,-38.495833330000000000000000000000,A456,BA
RIBEIRA DO AMPARO,Operante,-11.058611110000000000000000000000,-38.444166660000000000000000000000,-38.444166660000000000000000000000,A458,BA
BARBACENA,Operante,-21.228333320000000000000000000000,-43.767777770000000000000000000000,-43.767777770000000000000000000000,A502,MG
ARAXA,Operante,-19.605833330000000000000000000000,-46.949722210000000000000000000000,-46.949722210000000000000000000000,A505,MG
MONTES CLAROS,Operante,-16.686388880000000000000000000000,-43.843888880000000000000000000000,-43.843888880000000000000000000000,A506,MG
UBERLANDIA,Operante,-18.916944430000000000000000000000,-48.255555550000000000000000000000,-48.255555550000000000000000000000,A507,MG
ALMENARA,Operante,-16.166666660000000000000000000000,-40.687777770000000000000000000000,-40.687777770000000000000000000000,A508,MG
MONTE VERDE,Operante,-22.861666660000000000000000000000,-46.043333330000000000000000000000,-46.043333330000000000000000000000,A509,MG
VICOSA,Operante,-20.762607000000000000000000000000,-42.864013000000000000000000000000,-42.864013000000000000000000000000,A510,MG
TIMOTEO,Operante,-19.573888880000000000000000000000,-42.622499990000000000000000000000,-42.622499990000000000000000000000,A511,MG
ITUIUTABA,Operante,-18.952777770000000000000000000000,-49.524999990000000000000000000000,-49.524999990000000000000000000000,A512,MG
OURO BRANCO,Pane,-20.556666660000000000000000000000,-43.756111110000000000000000000000,-43.756111110000000000000000000000,A513,MG
SAO JOAO DEL REI,Operante,-21.106388880000000000000000000000,-44.250833330000000000000000000000,-44.250833330000000000000000000000,A514,MG
VARGINHA,Operante,-21.566388880000000000000000000000,-45.404166660000000000000000000000,-45.404166660000000000000000000000,A515,MG
PASSOS,Operante,-20.745237000000000000000000000000,-46.633916000000000000000000000000,-46.633916000000000000000000000000,A516,MG
MURIAE,Operante,-21.105000000000000000000000000000,-42.375833320000000000000000000000,-42.375833320000000000000000000000,A517,MG
JUIZ DE FORA,Operante,-21.769965000000000000000000000000,-43.364329000000000000000000000000,-43.364329000000000000000000000000,A518,MG
CAMPINA VERDE,Operante,-19.539210000000000000000000000000,-49.518133000000000000000000000000,-49.518133000000000000000000000000,A519,MG
CONCEICAO DAS ALAGOAS,Operante,-19.985860000000000000000000000000,-48.151574000000000000000000000000,-48.151574000000000000000000000000,A520,MG
BELO HORIZONTE (PAMPULHA),Operante,-19.883888880000000000000000000000,-43.969444430000000000000000000000,-43.969444430000000000000000000000,A521,MG
SERRA DOS AIMORES,Operante,-17.798888880000000000000000000000,-40.250000000000000000000000000000,-40.250000000000000000000000000000,A522,MG
