cidade,situacao,latitude,longitude,altitude,cdg_estacao,sg_estado
PRESIDENTE PRUDENTE,Operante,-22.119999990000000000000000000000,-51.408611110000000000000000000000,-51.408611110000000000000000000000,A707,SP
FRANCA,Operante,-20.584444440000000000000000000000,-47.382499990000000000000000000000,-47.382499990000000000000000000000,A708,SP
IVINHEMA,Operante,-22.300555550000000000000000000000,-53.822777770000000000000000000000,-53.822777770000000000000000000000,A709,MS
PARANAIBA,Operante,-19.695555550000000000000000000000,-51.181666660000000000000000000000,-51.181666660000000000000000000000,A710,MS
SAO CARLOS,Operante,-21.980353000000000000000000000000,-47.883927000000000000000000000000,-47.883927000000000000000000000000,A711,SP
IGUAPE,Operante,-24.671666660000000000000000000000,-47.545833330000000000000000000000,-47.545833330000000000000000000000,A712,SP
SOROCABA,Operante,-23.426111100000000000000000000000,-47.585555550000000000000000000000,-47.585555550000000000000000000000,A713,SP
ITAPEVA,Operante,-23.981944430000000000000000000000,-48.885833330000000000000000000000,-48.885833330000000000000000000000,A714,SP
SAO MIGUEL ARCANJO,Operante,-23.890833330000000000000000000000,-47.999166660000000000000000000000,-47.999166660000000000000000000000,A715,SP
OURINHOS,Operante,-23.000555550000000000000000000000,-49.843333330000000000000000000000,-49.843333330000000000000000000000,A716,SP
NHUMIRIM,Operante,-18.988611100000000000000000000000,-56.622777770000000000000000000000,-56.622777770000000000000000000000,A717,MS
RANCHARIA,Operante,-22.372777770000000000000000000000,-50.974722210000000000000000000000,-50.974722210000000000000000000000,A718,SP
AQUIDAUANA,Operante,-20.475555540000000000000000000000,-55.783888880000000000000000000000,-55.783888880000000000000000000000,A719,MS
COXIM,Operante,-18.512222220000000000000000000000,-54.736111100000000000000000000000,-54.736111100000000000000000000000,A720,MS
DOURADOS,Operante,-22.193888880000000000000000000000,-54.911388880000000000000000000000,-54.911388880000000000000000000000,A721,MS
MIRANDA,Operante,-20.395555550000000000000000000000,-56.431666660000000000000000000000,-56.431666660000000000000000000000,A722,MS
PORTO MURTINHO,Pane,-21.705833330000000000000000000000,-57.886666660000000000000000000000,-57.886666660000000000000000000000,A723,MS
CORUMBA,Operante,-18.996666660000000000000000000000,-57.637499990000000000000000000000,-57.637499990000000000000000000000,A724,MS
AVARE,Operante,-23.101666660000000000000000000000,-48.941111100000000000000000000000,-48.941111100000000000000000000000,A725,SP
PIRACICABA,Operante,-22.703055550000000000000000000000,-47.623333320000000000000000000000,-47.623333320000000000000000000000,A726,SP
LINS,Operante,-21.666111110000000000000000000000,-49.734722210000000000000000000000,-49.734722210000000000000000000000,A727,SP
TAUBATE,Operante,-23.041666660000000000000000000000,-45.520833320000000000000000000000,-45.520833320000000000000000000000,A728,SP
CHAPADAO DO SUL,Operante,-18.802222220000000000000000000000,-52.602500000000000000000000000000,-52.602500000000000000000000000000,A730,MS
MARACAJU,Operante,-21.609166660000000000000000000000,-55.177499990000000000000000000000,-55.177499990000000000000000000000,A731,MS
SAO GABRIEL DO OESTE,Operante,-19.420277770000000000000000000000,-54.553055550000000000000000000000,-54.553055550000000000000000000000,A732,MS
JALES,Operante,-20.165000000000000000000000000000,-50.594999990000000000000000000000,-50.594999990000000000000000000000,A733,SP
VALPARAISO,Operante,-21.319166660000000000000000000000,-50.930277770000000000000000000000,-50.930277770000000000000000000000,A734,SP
JOSE BONIFACIO,Operante,-21.085555550000000000000000000000,-49.920277770000000000000000000000,-49.920277770000000000000000000000,A735,SP
ARIRANHA,Operante,-21.133055540000000000000000000000,-48.840555550000000000000000000000,-48.840555550000000000000000000000,A736,SP
IBITINGA,Operante,-21.855555550000000000000000000000,-48.799722210000000000000000000000,-48.799722210000000000000000000000,A737,SP
CASA BRANCA,Operante,-21.780555540000000000000000000000,-47.075277770000000000000000000000,-47.075277770000000000000000000000,A738,SP
ITAPIRA,Operante,-22.415000000000000000000000000000,-46.805277770000000000000000000000,-46.805277770000000000000000000000,A739,SP
SAO LUIZ DO PARAITINGA,Pane,-23.228333320000000000000000000000,-45.416944430000000000000000000000,-45.416944430000000000000000000000,A740,SP
BARRA BONITA,Operante,-22.471111100000000000000000000000,-48.557500000000000000000000000000,-48.557500000000000000000000000000,A741,SP
CASSILANDIA,Operante,-19.122499990000000000000000000000,-51.720833320000000000000000000000,-51.720833320000000000000000000000,A742,MS
RIO BRILHANTE,Operante,-21.774999990000000000000000000000,-54.528055540000000000000000000000,-54.528055540000000000000000000000,A743,MS
BRAGANCA PAULISTA,Operante,-22.949166660000000000000000000000,-46.526111100000000000000000000000,-46.526111100000000000000000000000,A744,SP
BARRA DO TURVO,Operante,-24.962777770000000000000000000000,-48.416388880000000000000000000000,-48.416388880000000000000000000000,A746,SP
PRADOPOLIS,Operante,-21.338333330000000000000000000000,-48.113888880000000000000000000000,-48.113888880000000000000000000000,A747,SP
BARRETOS,Operante,-20.559166660000000000000000000000,-48.544999990000000000000000000000,-48.544999990000000000000000000000,A748,SP
JUTI,Operante,-22.857222220000000000000000000000,-54.605555550000000000000000000000,-54.605555550000000000000000000000,A749,MS
AMAMBAI,Operante,-23.002500000000000000000000000000,-55.329444430000000000000000000000,-55.329444430000000000000000000000,A750,MS
SETE QUEDAS,Operante,-23.966944430000000000000000000000,-55.024166660000000000000000000000,-55.024166660000000000000000000000,A751,MS
ITAQUIRAI,Operante,-23.449444440000000000000000000000,-54.181944430000000000000000000000,-54.181944430000000000000000000000,A752,MS
ITUVERAVA,Operante,-20.359722220000000000000000000000,-47.775277770000000000000000000000,-47.775277770000000000000000000000,A753,SP
SIDROLANDIA,Operante,-20.981666660000000000000000000000,-54.971944430000000000000000000000,-54.971944430000000000000000000000,A754,MS
BARUERI,Operante,-23.523888880000000000000000000000,-46.869444430000000000000000000000,-46.869444430000000000000000000000,A755,SP
AGUA CLARA,Operante,-20.444444440000000000000000000000,-52.875833320000000000000000000000,-52.875833320000000000000000000000,A756,MS
JARDIM,Operante,-21.478611100000000000000000000000,-56.137777770000000000000000000000,-56.137777770000000000000000000000,A758,MS
BATAGUASSU,Operante,-21.750000000000000000000000000000,-52.471388880000000000000000000000,-52.471388880000000000000000000000,A759,MS
COSTA RICA,Operante,-18.492777770000000000000000000000,-53.171388880000000000000000000000,-53.171388880000000000000000000000,A760,MS
SONORA,Operante,-17.635277770000000000000000000000,-54.760555550000000000000000000000,-54.760555550000000000000000000000,A761,MS
DRACENA,Operante,-21.457777770000000000000000000000,-51.552222220000000000000000000000,-51.552222220000000000000000000000,A762,SP
MARILIA,Operante,-22.235222000000000000000000000000,-49.965111000000000000000000000000,-49.965111000000000000000000000000,A763,SP
BEBEDOURO,Operante,-20.948055550000000000000000000000,-48.471388880000000000000000000000,-48.471388880000000000000000000000,A764,SP
BERTIOGA,Operante,-23.844722210000000000000000000000,-46.143333330000000000000000000000,-46.143333330000000000000000000000,A765,SP
REGISTRO,Operante,-24.533055540000000000000000000000,-47.864166660000000000000000000000,-47.864166660000000000000000000000,A766,SP
TUPA,Operante,-21.927251000000000000000000000000,-50.490251000000000000000000000000,-50.490251000000000000000000000000,A768,SP
CACHOEIRA PAULISTA,Operante,-22.688888880000000000000000000000,-45.005555550000000000000000000000,-45.005555550000000000000000000000,A769,SP
SAO SIMAO,Operante,-21.461111110000000000000000000000,-47.579444430000000000000000000000,-47.579444430000000000000000000000,A770,SP
SAO PAULO - INTERLAGOS,Operante,-23.724501000000000000000000000000,-46.677501000000000000000000000000,-46.677501000000000000000000000000,A771,SP
PORTO ALEGRE - JARDIM BOTANICO,Operante,-30.053611110000000000000000000000,-51.174722210000000000000000000000,-51.174722210000000000000000000000,A801,RS
RIO GRANDE,Operante,-32.078888880000000000000000000000,-52.167777770000000000000000000000,-52.167777770000000000000000000000,A802,RS
SANTA MARIA,Operante,-29.724999990000000000000000000000,-53.720555540000000000000000000000,-53.720555540000000000000000000000,A803,RS
SANTANA DO LIVRAMENTO,Operante,-30.750555550000000000000000000000,-55.401388880000000000000000000000,-55.401388880000000000000000000000,A804,RS
SANTO AUGUSTO,Operante,-27.854444440000000000000000000000,-53.791111100000000000000000000000,-53.791111100000000000000000000000,A805,RS
FLORIANOPOLIS,Operante,-27.602500000000000000000000000000,-48.619999990000000000000000000000,-48.619999990000000000000000000000,A806,SC
CURITIBA,Operante,-25.448611100000000000000000000000,-49.230555540000000000000000000000,-49.230555540000000000000000000000,A807,PR
TORRES,Operante,-29.350277770000000000000000000000,-49.733333330000000000000000000000,-49.733333330000000000000000000000,A808,RS
URUGUAIANA,Operante,-29.839999990000000000000000000000,-57.081944430000000000000000000000,-57.081944430000000000000000000000,A809,RS
SANTA ROSA,Pane,-27.890555550000000000000000000000,-54.479999990000000000000000000000,-54.479999990000000000000000000000,A810,RS
CANGUCU,Operante,-31.403333330000000000000000000000,-52.700833330000000000000000000000,-52.700833330000000000000000000000,A811,RS
CACAPAVA DO SUL,Operante,-30.545277770000000000000000000000,-53.466944430000000000000000000000,-53.466944430000000000000000000000,A812,RS
RIO PARDO,Operante,-29.872222210000000000000000000000,-52.381944430000000000000000000000,-52.381944430000000000000000000000,A813,RS
URUSSANGA,Operante,-28.532499990000000000000000000000,-49.315277770000000000000000000000,-49.315277770000000000000000000000,A814,SC
SAO JOAQUIM,Operante,-28.275555540000000000000000000000,-49.934722210000000000000000000000,-49.934722210000000000000000000000,A815,SC
NOVO HORIZONTE,Operante,-26.406388880000000000000000000000,-52.850277770000000000000000000000,-52.850277770000000000000000000000,A816,SC
INDAIAL,Operante,-26.913611110000000000000000000000,-49.268055540000000000000000000000,-49.268055540000000000000000000000,A817,SC
IVAI,Pane,-25.010833330000000000000000000000,-50.853888880000000000000000000000,-50.853888880000000000000000000000,A818,PR
CASTRO,Operante,-24.779999990000000000000000000000,-50.046388880000000000000000000000,-50.046388880000000000000000000000,A819,PR
MAL. CANDIDO RONDON,Operante,-24.533333330000000000000000000000,-54.019166660000000000000000000000,-54.019166660000000000000000000000,A820,PR
JOAQUIM TAVORA,Pane,-23.505277770000000000000000000000,-49.946388880000000000000000000000,-49.946388880000000000000000000000,A821,PR
NOVA TEBAS,Pane,-24.433888880000000000000000000000,-51.953888880000000000000000000000,-51.953888880000000000000000000000,A822,PR
INACIO MARTINS,Operante,-25.567879000000000000000000000000,-51.077946000000000000000000000000,-51.077946000000000000000000000000,A823,PR
ICARAIMA,Pane,-23.390277770000000000000000000000,-53.635833330000000000000000000000,-53.635833330000000000000000000000,A824,PR
GOIOERE,Operante,-24.183888880000000000000000000000,-53.048888880000000000000000000000,-53.048888880000000000000000000000,A825,PR
ALEGRETE,Operante,-29.709166660000000000000000000000,-55.525555540000000000000000000000,-55.525555540000000000000000000000,A826,RS
BAGE,Operante,-31.347777770000000000000000000000,-54.013333330000000000000000000000,-54.013333330000000000000000000000,A827,RS
ERECHIM,Operante,-27.657777770000000000000000000000,-52.305833330000000000000000000000,-52.305833330000000000000000000000,A828,RS
SAO JOSE DOS AUSENTES,Operante,-28.748611100000000000000000000000,-50.057777770000000000000000000000,-50.057777770000000000000000000000,A829,RS
SAO BORJA,Operante,-28.650000000000000000000000000000,-56.016388880000000000000000000000,-56.016388880000000000000000000000,A830,RS
QUARAI,Operante,-30.368578000000000000000000000000,-56.437115000000000000000000000000,-56.437115000000000000000000000000,A831,RS
SAO GABRIEL,Operante,-30.341388880000000000000000000000,-54.310833330000000000000000000000,-54.310833330000000000000000000000,A832,RS
SANTIAGO,Operante,-29.191599000000000000000000000000,-54.885653000000000000000000000000,-54.885653000000000000000000000000,A833,RS
TRAMANDAI,Operante,-30.010277770000000000000000000000,-50.135833330000000000000000000000,-50.135833330000000000000000000000,A834,RS
MARINGA,Operante,-23.405277770000000000000000000000,-51.932777770000000000000000000000,-51.932777770000000000000000000000,A835,PR
JAGUARAO,Operante,-32.534722210000000000000000000000,-53.375833320000000000000000000000,-53.375833320000000000000000000000,A836,RS
SOLEDADE,Operante,-28.859211000000000000000000000000,-52.542387000000000000000000000000,-52.542387000000000000000000000000,A837,RS
CAMAQUA,Operante,-30.807953000000000000000000000000,-51.834240000000000000000000000000,-51.834240000000000000000000000000,A838,RS
PASSO FUNDO,Operante,-28.226805000000000000000000000000,-52.403582000000000000000000000000,-52.403582000000000000000000000000,A839,RS
BENTO GONCALVES,Operante,-29.164581000000000000000000000000,-51.534202000000000000000000000000,-51.534202000000000000000000000000,A840,RS
JOACABA,Operante,-27.169166660000000000000000000000,-51.558888880000000000000000000000,-51.558888880000000000000000000000,A841,SC
NOVA FATIMA,Pane,-23.415277770000000000000000000000,-50.577777770000000000000000000000,-50.577777770000000000000000000000,A842,PR
DOIS VIZINHOS,Operante,-25.699166660000000000000000000000,-53.095277770000000000000000000000,-53.095277770000000000000000000000,A843,PR
LAGOA VERMELHA,Operante,-28.222381000000000000000000000000,-51.512845000000000000000000000000,-51.512845000000000000000000000000,A844,RS
BOM JARDIM DA SERRA - MORRO DA IGREJA,Operante,-28.126944430000000000000000000000,-49.479722210000000000000000000000,-49.479722210000000000000000000000,A845,SC
FOZ DO IGUACU,Operante,-25.601944440000000000000000000000,-54.483055540000000000000000000000,-54.483055540000000000000000000000,A846,PR
DIONISIO CERQUEIRA,Operante,-26.286562000000000000000000000000,-53.633114000000000000000000000000,-53.633114000000000000000000000000,A848,SC
DIAMANTE DO NORTE,Operante,-22.639444440000000000000000000000,-52.890277770000000000000000000000,-52.890277770000000000000000000000,A849,PR
PARANAPOEMA,Operante,-22.658333330000000000000000000000,-52.134444440000000000000000000000,-52.134444440000000000000000000000,A850,PR
ITAPOA,Operante,-26.081388880000000000000000000000,-48.641666660000000000000000000000,-48.641666660000000000000000000000,A851,SC
SAO LUIZ GONZAGA,Operante,-28.417222210000000000000000000000,-54.962500000000000000000000000000,-54.962500000000000000000000000000,A852,RS
CRUZ ALTA,Operante,-28.603440000000000000000000000000,-53.673597000000000000000000000000,-53.673597000000000000000000000000,A853,RS
FREDERICO WESTPHALEN,Operante,-27.395555550000000000000000000000,-53.429444430000000000000000000000,-53.429444430000000000000000000000,A854,RS
PLANALTO,Operante,-25.721944430000000000000000000000,-53.748055550000000000000000000000,-53.748055550000000000000000000000,A855,PR
PALMEIRA DAS MISSOES,Operante,-27.920277770000000000000000000000,-53.318055540000000000000000000000,-53.318055540000000000000000000000,A856,RS
SAO MIGUEL DO OESTE,Pane,-26.786388880000000000000000000000,-53.514166660000000000000000000000,-53.514166660000000000000000000000,A857,SC
XANXERE,Operante,-26.938666000000000000000000000000,-52.398090000000000000000000000000,-52.398090000000000000000000000000,A858,SC
CACADOR,Operante,-26.819156000000000000000000000000,-50.985520000000000000000000000000,-50.985520000000000000000000000000,A859,SC
CURITIBANOS,Operante,-27.288611100000000000000000000000,-50.604166660000000000000000000000,-50.604166660000000000000000000000,A860,SC
RIO DO CAMPO,Pane,-26.937499990000000000000000000000,-50.145555550000000000000000000000,-50.145555550000000000000000000000,A861,SC
RIO NEGRINHO,Operante,-26.248611100000000000000000000000,-49.574166660000000000000000000000,-49.574166660000000000000000000000,A862,SC
ITUPORANGA,Operante,-27.418333320000000000000000000000,-49.646944440000000000000000000000,-49.646944440000000000000000000000,A863,SC
MAJOR VIEIRA,Operante,-26.393611100000000000000000000000,-50.363333330000000000000000000000,-50.363333330000000000000000000000,A864,SC
LAGES,Operante,-27.802222220000000000000000000000,-50.335555550000000000000000000000,-50.335555550000000000000000000000,A865,SC
Laguna  - Farol de Santa Marta,Operante,-28.604444440000000000000000000000,-48.813333330000000000000000000000,-48.813333330000000000000000000000,A866,SC
ARARANGUA,Operante,-28.931353000000000000000000000000,-49.497920000000000000000000000000,-49.497920000000000000000000000000,A867,SC
ITAJAI,Operante,-26.950833330000000000000000000000,-48.761944440000000000000000000000,-48.761944440000000000000000000000,A868,SC
CIDADE GAUCHA,Operante,-23.359166660000000000000000000000,-52.931944430000000000000000000000,-52.931944430000000000000000000000,A869,PR
RANCHO QUEIMADO,Operante,-27.678611100000000000000000000000,-49.041944440000000000000000000000,-49.041944440000000000000000000000,A870,SC
JAPIRA,Operante,-23.773333320000000000000000000000,-50.180555540000000000000000000000,-50.180555540000000000000000000000,A871,PR
VENTANIA,Operante,-24.280277770000000000000000000000,-50.210277770000000000000000000000,-50.210277770000000000000000000000,A872,PR
MORRETES,Operante,-25.508888880000000000000000000000,-48.808611110000000000000000000000,-48.808611110000000000000000000000,A873,PR
SAO MATEUS DO SUL,Operante,-25.835555550000000000000000000000,-50.368888880000000000000000000000,-50.368888880000000000000000000000,A874,PR
GENERAL CARNEIRO,Operante,-26.398611100000000000000000000000,-51.353611110000000000000000000000,-51.353611110000000000000000000000,A875,PR
CLEVELANDIA,Operante,-26.417222210000000000000000000000,-52.348611100000000000000000000000,-52.348611100000000000000000000000,A876,PR
MOSTARDAS,Operante,-31.248333330000000000000000000000,-50.906388880000000000000000000000,-50.906388880000000000000000000000,A878,RS
CANELA,Operante,-29.368888880000000000000000000000,-50.827222210000000000000000000000,-50.827222210000000000000000000000,A879,RS
VACARIA,Operante,-28.513611110000000000000000000000,-50.882777770000000000000000000000,-50.882777770000000000000000000000,A880,RS
DOM PEDRITO,Operante,-31.002500000000000000000000000000,-54.618055540000000000000000000000,-54.618055540000000000000000000000,A881,RS
TEUTONIA,Operante,-29.449166660000000000000000000000,-51.823333320000000000000000000000,-51.823333320000000000000000000000,A882,RS
IBIRUBA,Operante,-28.653333330000000000000000000000,-53.111944440000000000000000000000,-53.111944440000000000000000000000,A883,RS
CAMPO BOM,Operante,-29.674293000000000000000000000000,-51.064042000000000000000000000000,-51.064042000000000000000000000000,A884,RS
TUPANCIRETA,Operante,-29.089444440000000000000000000000,-53.826666660000000000000000000000,-53.826666660000000000000000000000,A886,RS
CAPAO DO LEAO (PELOTAS),Operante,-31.802500000000000000000000000000,-52.407222220000000000000000000000,-52.407222220000000000000000000000,A887,RS
SAO VICENTE DO SUL,Operante,-29.702222220000000000000000000000,-54.694444440000000000000000000000,-54.694444440000000000000000000000,A889,RS
ENCRUZILHADA DO SUL,Operante,-30.543055550000000000000000000000,-52.524722210000000000000000000000,-52.524722210000000000000000000000,A893,RS
SERAFINA CORREA,Operante,-28.704722220000000000000000000000,-51.870833320000000000000000000000,-51.870833320000000000000000000000,A894,RS
CHAPECO,Operante,-27.085311100000000000000000000000,-52.635711100000000000000000000000,-52.635711100000000000000000000000,A895,SC
CAMBARA DO SUL,Operante,-29.049166660000000000000000000000,-50.149722210000000000000000000000,-50.149722210000000000000000000000,A897,RS
CAMPOS NOVOS,Operante,-27.388611100000000000000000000000,-51.215833330000000000000000000000,-51.215833330000000000000000000000,A898,SC
Santa Vitoria do Palmar - Barra do Chui,Operante,-33.742222210000000000000000000000,-53.372222210000000000000000000000,-53.372222210000000000000000000000,A899,RS
CUIABA,Operante,-15.559295000000000000000000000000,-56.062951000000000000000000000000,-56.062951000000000000000000000000,A901,MT
TANGARA DA SERRA,Operante,-14.650000000000000000000000000000,-57.431666660000000000000000000000,-57.431666660000000000000000000000,A902,MT
S.J. DO RIO CLARO,Operante,-13.453888880000000000000000000000,-56.677222210000000000000000000000,-56.677222210000000000000000000000,A903,MT
SORRISO,Operante,-12.555000000000000000000000000000,-55.722777770000000000000000000000,-55.722777770000000000000000000000,A904,MT
CAMPO NOVO DOS PARECIS,Operante,-13.785833330000000000000000000000,-57.838611100000000000000000000000,-57.838611100000000000000000000000,A905,MT
GUARANTA DO NORTE,Operante,-9.952500000000000000000000000000,-54.897777770000000000000000000000,-54.897777770000000000000000000000,A906,MT
RONDONOPOLIS,Pane,-16.462500000000000000000000000000,-54.580277770000000000000000000000,-54.580277770000000000000000000000,A907,MT
AGUA BOA,Operante,-14.016388880000000000000000000000,-52.211666660000000000000000000000,-52.211666660000000000000000000000,A908,MT
ALTO ARAGUAIA,Operante,-17.339444440000000000000000000000,-53.224444430000000000000000000000,-53.224444430000000000000000000000,A909,MT
APIACAS,Operante,-9.563333330000000000000000000000,-57.393611100000000000000000000000,-57.393611100000000000000000000000,A910,MT
SAPEZAL,Operante,-13.303888880000000000000000000000,-58.763333330000000000000000000000,-58.763333330000000000000000000000,A911,MT
CAMPO VERDE,Operante,-15.558888880000000000000000000000,-55.179444430000000000000000000000,-55.179444430000000000000000000000,A912,MT
COMODORO,Operante,-13.708055550000000000000000000000,-59.762500000000000000000000000000,-59.762500000000000000000000000000,A913,MT
JUARA,Pane,-11.280277770000000000000000000000,-57.526666660000000000000000000000,-57.526666660000000000000000000000,A914,MT
PARANATINGA,Operante,-14.421388880000000000000000000000,-54.036111100000000000000000000000,-54.036111100000000000000000000000,A915,MT
QUERENCIA,Operante,-12.603055550000000000000000000000,-52.162500000000000000000000000000,-52.162500000000000000000000000000,A916,MT
SINOP,Operante,-11.982222210000000000000000000000,-55.566111110000000000000000000000,-55.566111110000000000000000000000,A917,MT
COTRIGUACU,Operante,-9.906388880000000000000000000000,-58.572222210000000000000000000000,-58.572222210000000000000000000000,A919,MT
JUINA,Operante,-11.374999990000000000000000000000,-58.774722210000000000000000000000,-58.774722210000000000000000000000,A920,MT
SAO FELIX  DO ARAGUAIA,Pane,-11.618888880000000000000000000000,-50.727777770000000000000000000000,-50.727777770000000000000000000000,A921,MT
VILA BELA DA SANTISSIMA TRINDADE,Operante,-15.062777770000000000000000000000,-59.873055540000000000000000000000,-59.873055540000000000000000000000,A922,MT
PRIMAVERA DO LESTE,Operante,-15.579999990000000000000000000000,-54.381111100000000000000000000000,-54.381111100000000000000000000000,A923,MT
ALTA FLORESTA,Operante,-10.077222210000000000000000000000,-56.179166660000000000000000000000,-56.179166660000000000000000000000,A924,MT
PORTO VELHO,Operante,-8.793611100000000000000000000000,-63.845833330000000000000000000000,-63.845833330000000000000000000000,A925,RO
CARLINDA,Operante,-9.970555540000000000000000000000,-55.827499990000000000000000000000,-55.827499990000000000000000000000,A926,MT
BRASNORTE (NOVO MUNDO),Operante,-12.521944430000000000000000000000,-58.231388880000000000000000000000,-58.231388880000000000000000000000,A927,MT
NOVA MARINGA,Operante,-13.038611100000000000000000000000,-57.092222210000000000000000000000,-57.092222210000000000000000000000,A928,MT
NOVA UBIRATA,Pane,-13.411111110000000000000000000000,-54.752222220000000000000000000000,-54.752222220000000000000000000000,A929,MT
GAUCHA DO NORTE,Operante,-13.184722210000000000000000000000,-53.257500000000000000000000000000,-53.257500000000000000000000000000,A930,MT
SANTO ANTONIO DO LESTE,Operante,-14.924999990000000000000000000000,-53.884444440000000000000000000000,-53.884444440000000000000000000000,A931,MT
GUIRATINGA,Operante,-16.341666660000000000000000000000,-53.766111110000000000000000000000,-53.766111110000000000000000000000,A932,MT
ITIQUIRA,Pane,-17.174999990000000000000000000000,-54.501666660000000000000000000000,-54.501666660000000000000000000000,A933,MT
ALTO TAQUARI,Operante,-17.841111100000000000000000000000,-53.289444440000000000000000000000,-53.289444440000000000000000000000,A934,MT
PORTO ESTRELA,Operante,-15.324722210000000000000000000000,-57.225833320000000000000000000000,-57.225833320000000000000000000000,A935,MT
SALTO DO CEU,Operante,-15.124722210000000000000000000000,-58.127222210000000000000000000000,-58.127222210000000000000000000000,A936,MT
PONTES E LACERDA,Operante,-15.234444440000000000000000000000,-59.346111100000000000000000000000,-59.346111100000000000000000000000,A937,MT
VILHENA,Operante,-12.734999990000000000000000000000,-60.157777770000000000000000000000,-60.157777770000000000000000000000,A938,RO
CACOAL,Operante,-11.445833330000000000000000000000,-61.434166660000000000000000000000,-61.434166660000000000000000000000,A939,RO
ARIQUEMES,Operante,-9.948888880000000000000000000000,-62.961944440000000000000000000000,-62.961944440000000000000000000000,A940,RO
SAO JOSE DO XINGU,Operante,-10.484166660000000000000000000000,-52.372499990000000000000000000000,-52.372499990000000000000000000000,A942,MT
SERRA NOVA DOURADA,Pane,-11.987777770000000000000000000000,-51.426111100000000000000000000000,-51.426111100000000000000000000000,A943,MT
ROSARIO OESTE,Operante,-14.828888880000000000000000000000,-56.441944440000000000000000000000,-56.441944440000000000000000000000,A944,MT
CAMPINA DA LAGOA,Operante,-24.570833320000000000000000000000,-52.800277770000000000000000000000,-52.800277770000000000000000000000,B803,PR
LARANJEIRAS DO SUL,Operante,-25.371388880000000000000000000000,-52.400833330000000000000000000000,-52.400833330000000000000000000000,B804,PR
COLOMBO,Operante,-25.322464000000000000000000000000,-49.157733000000000000000000000000,-49.157733000000000000000000000000,B806,PR
PORTO ALEGRE- BELEM NOVO,Operante,-30.186111100000000000000000000000,-51.178055540000000000000000000000,-51.178055540000000000000000000000,B807,RS
BELO HORIZONTE - CERCADINHO,Operante,-19.979999990000000000000000000000,-43.958611110000000000000000000000,-43.958611110000000000000000000000,F501,MG
