hr_medicao,cdg_stacao,umidade
2019-03-06 18:00:00.000000,A001,76
2019-03-06 19:00:00.000000,A001,68
2019-03-06 20:00:00.000000,A001,74
2019-03-06 21:00:00.000000,A001,81
2019-03-06 22:00:00.000000,A001,84
2019-03-06 23:00:00.000000,A001,81
2019-03-07 00:00:00.000000,A001,80
2019-03-07 01:00:00.000000,A001,79
2019-03-07 02:00:00.000000,A001,82
2019-03-07 03:00:00.000000,A001,90
2019-03-07 04:00:00.000000,A001,90
2019-03-07 05:00:00.000000,A001,92
2019-03-07 06:00:00.000000,A001,92
2019-03-07 07:00:00.000000,A001,92
2019-03-07 08:00:00.000000,A001,92
2019-03-07 09:00:00.000000,A001,93
2019-03-07 10:00:00.000000,A001,92
2019-03-07 11:00:00.000000,A001,82
2019-03-07 12:00:00.000000,A001,72
2019-03-07 13:00:00.000000,A001,72
2019-03-07 14:00:00.000000,A001,71
2019-03-07 15:00:00.000000,A001,68
2019-03-07 16:00:00.000000,A001,59
2019-03-07 17:00:00.000000,A001,58
2019-03-07 18:00:00.000000,A001,58
2019-03-07 19:00:00.000000,A001,52
2019-03-07 20:00:00.000000,A001,64
2019-03-07 21:00:00.000000,A001,68
2019-03-07 22:00:00.000000,A001,86
2019-03-07 23:00:00.000000,A001,92
2019-03-08 00:00:00.000000,A001,93
2019-03-08 01:00:00.000000,A001,94
2019-03-08 02:00:00.000000,A001,94
2019-03-08 03:00:00.000000,A001,94
2019-03-08 04:00:00.000000,A001,95
2019-03-08 05:00:00.000000,A001,92
2019-03-08 06:00:00.000000,A001,93
2019-03-08 07:00:00.000000,A001,93
2019-03-08 08:00:00.000000,A001,94
2019-03-08 09:00:00.000000,A001,93
2019-03-08 10:00:00.000000,A001,91
2019-03-08 11:00:00.000000,A001,84
2019-03-08 12:00:00.000000,A001,78
2019-03-08 13:00:00.000000,A001,69
2019-03-08 14:00:00.000000,A001,68
2019-03-08 15:00:00.000000,A001,61
2019-03-08 16:00:00.000000,A001,56
2019-03-08 17:00:00.000000,A001,54
2019-03-08 18:00:00.000000,A001,45
2019-03-08 19:00:00.000000,A001,42
2019-03-08 20:00:00.000000,A001,45
2019-03-08 21:00:00.000000,A001,45
2019-03-08 22:00:00.000000,A001,68
2019-03-08 23:00:00.000000,A001,74
2019-03-09 00:00:00.000000,A001,81
2019-03-09 01:00:00.000000,A001,87
2019-03-09 02:00:00.000000,A001,89
2019-03-09 03:00:00.000000,A001,84
2019-03-09 04:00:00.000000,A001,85
2019-03-09 05:00:00.000000,A001,89
2019-03-09 06:00:00.000000,A001,92
2019-03-09 07:00:00.000000,A001,93
2019-03-09 08:00:00.000000,A001,86
2019-03-09 09:00:00.000000,A001,87
2019-03-09 10:00:00.000000,A001,87
2019-03-09 11:00:00.000000,A001,76
2019-03-09 12:00:00.000000,A001,72
2019-03-09 13:00:00.000000,A001,64
2019-03-09 14:00:00.000000,A001,59
2019-03-09 15:00:00.000000,A001,56
2019-03-09 16:00:00.000000,A001,54
2019-03-09 17:00:00.000000,A001,47
2019-03-09 18:00:00.000000,A001,44
2019-03-09 19:00:00.000000,A001,43
2019-03-09 20:00:00.000000,A001,49
2019-03-09 21:00:00.000000,A001,50
2019-03-09 22:00:00.000000,A001,56
2019-03-09 23:00:00.000000,A001,59
2019-01-09 00:00:00.000000,A001,65
2019-01-09 01:00:00.000000,A001,70
2019-01-09 02:00:00.000000,A001,72
2019-01-09 03:00:00.000000,A001,70
2019-01-09 04:00:00.000000,A001,74
2019-01-09 05:00:00.000000,A001,77
2019-01-09 06:00:00.000000,A001,76
2019-01-09 07:00:00.000000,A001,78
2019-01-09 08:00:00.000000,A001,80
2019-01-09 09:00:00.000000,A001,80
2019-01-09 10:00:00.000000,A001,72
2019-01-09 11:00:00.000000,A001,63
2019-01-09 12:00:00.000000,A001,63
2019-01-09 13:00:00.000000,A001,56
2019-01-09 14:00:00.000000,A001,56
2019-01-09 15:00:00.000000,A001,49
2019-01-09 16:00:00.000000,A001,43
2019-01-09 17:00:00.000000,A001,45
2019-01-09 18:00:00.000000,A001,45
2019-01-09 19:00:00.000000,A001,42
2019-01-09 20:00:00.000000,A001,41
2019-01-09 21:00:00.000000,A001,40
2019-01-09 22:00:00.000000,A001,45
2019-01-09 23:00:00.000000,A001,54
2019-01-10 00:00:00.000000,A001,56
2019-01-10 01:00:00.000000,A001,60
2019-01-10 02:00:00.000000,A001,62
2019-01-10 03:00:00.000000,A001,61
2019-01-10 04:00:00.000000,A001,63
2019-01-10 05:00:00.000000,A001,64
2019-01-10 06:00:00.000000,A001,67
2019-01-10 07:00:00.000000,A001,70
2019-01-10 08:00:00.000000,A001,71
2019-01-10 09:00:00.000000,A001,68
2019-01-10 10:00:00.000000,A001,68
2019-01-10 11:00:00.000000,A001,66
2019-01-10 12:00:00.000000,A001,67
2019-01-10 13:00:00.000000,A001,64
2019-01-10 14:00:00.000000,A001,63
2019-01-10 15:00:00.000000,A001,48
2019-01-10 16:00:00.000000,A001,53
2019-01-10 17:00:00.000000,A001,47
2019-01-10 18:00:00.000000,A001,80
2019-01-10 19:00:00.000000,A001,85
2019-01-10 20:00:00.000000,A001,90
2019-01-10 21:00:00.000000,A001,88
2019-01-10 22:00:00.000000,A001,88
2019-01-10 23:00:00.000000,A001,92
2019-01-11 00:00:00.000000,A001,93
2019-01-11 01:00:00.000000,A001,93
2019-01-11 02:00:00.000000,A001,84
2019-01-11 03:00:00.000000,A001,84
2019-01-11 04:00:00.000000,A001,84
2019-01-11 05:00:00.000000,A001,87
2019-01-11 06:00:00.000000,A001,91
2019-01-11 07:00:00.000000,A001,90
2019-01-11 08:00:00.000000,A001,90
2019-01-11 09:00:00.000000,A001,91
2019-01-11 10:00:00.000000,A001,93
2019-01-11 11:00:00.000000,A001,92
2019-01-11 12:00:00.000000,A001,88
2019-01-11 13:00:00.000000,A001,89
2019-01-11 14:00:00.000000,A001,87
2019-01-11 15:00:00.000000,A001,81
2019-01-11 16:00:00.000000,A001,70
2019-01-11 17:00:00.000000,A001,68
2019-01-11 18:00:00.000000,A001,65
2019-01-11 19:00:00.000000,A001,64
2019-01-11 20:00:00.000000,A001,63
2019-01-11 21:00:00.000000,A001,68
2019-01-11 22:00:00.000000,A001,75
2019-01-11 23:00:00.000000,A001,86
2019-01-12 00:00:00.000000,A001,79
2019-01-12 01:00:00.000000,A001,85
2019-01-12 02:00:00.000000,A001,89
2019-01-12 03:00:00.000000,A001,91
2019-01-12 04:00:00.000000,A001,84
2019-01-12 05:00:00.000000,A001,85
2019-01-12 06:00:00.000000,A001,88
2019-01-12 07:00:00.000000,A001,89
2019-01-12 08:00:00.000000,A001,89
2019-01-12 09:00:00.000000,A001,88
2019-01-12 10:00:00.000000,A001,84
2019-01-12 11:00:00.000000,A001,80
2019-01-12 12:00:00.000000,A001,65
2019-01-12 13:00:00.000000,A001,65
2019-01-12 14:00:00.000000,A001,64
2019-01-12 15:00:00.000000,A001,57
2019-01-12 16:00:00.000000,A001,63
2019-01-12 17:00:00.000000,A001,76
2019-01-12 18:00:00.000000,A001,68
2019-01-12 19:00:00.000000,A001,82
2019-01-12 20:00:00.000000,A001,69
2019-01-12 21:00:00.000000,A001,78
2019-01-12 22:00:00.000000,A001,87
2019-01-12 23:00:00.000000,A001,86
2019-01-13 00:00:00.000000,A001,89
2019-01-13 01:00:00.000000,A001,90
2019-01-13 02:00:00.000000,A001,92
2019-01-13 03:00:00.000000,A001,92
2019-01-13 04:00:00.000000,A001,92
2019-01-13 05:00:00.000000,A001,92
2019-01-13 06:00:00.000000,A001,90
2019-01-13 07:00:00.000000,A001,81
2019-01-13 08:00:00.000000,A001,83
2019-01-13 09:00:00.000000,A001,88
2019-01-13 10:00:00.000000,A001,83
2019-01-13 11:00:00.000000,A001,76
2019-01-13 12:00:00.000000,A001,69
2019-01-13 13:00:00.000000,A001,59
2019-01-13 14:00:00.000000,A001,58
2019-01-13 15:00:00.000000,A001,58
2019-01-13 16:00:00.000000,A001,56
2019-01-13 17:00:00.000000,A001,51
2019-01-13 18:00:00.000000,A001,48
2019-01-13 19:00:00.000000,A001,47
2019-01-13 20:00:00.000000,A001,49
2019-01-13 21:00:00.000000,A001,53
2019-01-13 22:00:00.000000,A001,60
2019-01-13 23:00:00.000000,A001,59
2019-01-14 00:00:00.000000,A001,63
2019-01-14 01:00:00.000000,A001,68
2019-01-14 02:00:00.000000,A001,69
2019-01-14 03:00:00.000000,A001,71
2019-01-14 04:00:00.000000,A001,77
2019-01-14 05:00:00.000000,A001,89
2019-01-14 06:00:00.000000,A001,91
2019-01-14 07:00:00.000000,A001,91
2019-01-14 08:00:00.000000,A001,90
2019-01-14 09:00:00.000000,A001,87
2019-01-14 10:00:00.000000,A001,80
2019-01-14 11:00:00.000000,A001,71
2019-01-14 12:00:00.000000,A001,59
2019-01-14 13:00:00.000000,A001,58
2019-01-14 14:00:00.000000,A001,47
2019-01-14 15:00:00.000000,A001,46
2019-01-14 16:00:00.000000,A001,46
2019-01-14 17:00:00.000000,A001,46
2019-01-14 18:00:00.000000,A001,37
2019-01-14 19:00:00.000000,A001,36
2019-01-14 20:00:00.000000,A001,38
2019-01-14 21:00:00.000000,A001,42
2019-01-14 22:00:00.000000,A001,47
2019-01-14 23:00:00.000000,A001,50
2019-01-15 00:00:00.000000,A001,56
2019-01-15 01:00:00.000000,A001,59
2019-01-15 02:00:00.000000,A001,75
2019-01-15 03:00:00.000000,A001,82
2019-01-15 04:00:00.000000,A001,80
2019-01-15 05:00:00.000000,A001,83
2019-01-15 06:00:00.000000,A001,85
2019-01-15 07:00:00.000000,A001,84
2019-01-15 08:00:00.000000,A001,84
2019-01-15 09:00:00.000000,A001,88
2019-01-15 10:00:00.000000,A001,66
2019-01-15 11:00:00.000000,A001,59
2019-01-15 12:00:00.000000,A001,55
2019-01-15 13:00:00.000000,A001,51
2019-01-15 14:00:00.000000,A001,51
