hr_medicao,cdg_stacao,vento_direcao
2019-02-27 22:00:00.000000,A001,351
2019-02-27 23:00:00.000000,A001,313
2019-02-28 00:00:00.000000,A001,342
2019-02-28 01:00:00.000000,A001,325
2019-02-28 02:00:00.000000,A001,327
2019-02-28 03:00:00.000000,A001,317
2019-02-28 04:00:00.000000,A001,284
2019-02-28 05:00:00.000000,A001,279
2019-02-28 06:00:00.000000,A001,301
2019-02-28 07:00:00.000000,A001,280
2019-02-28 08:00:00.000000,A001,311
2019-02-28 09:00:00.000000,A001,283
2019-02-28 10:00:00.000000,A001,278
2019-02-28 11:00:00.000000,A001,282
2019-02-28 12:00:00.000000,A001,281
2019-02-28 13:00:00.000000,A001,335
2019-02-28 14:00:00.000000,A001,276
2019-02-28 15:00:00.000000,A001,262
2019-02-28 16:00:00.000000,A001,60
2019-02-28 17:00:00.000000,A001,296
2019-02-28 18:00:00.000000,A001,216
2019-02-28 19:00:00.000000,A001,20
2019-02-28 20:00:00.000000,A001,131
2019-02-28 21:00:00.000000,A001,6
2019-02-28 22:00:00.000000,A001,6
2019-02-28 23:00:00.000000,A001,315
2019-03-01 00:00:00.000000,A001,274
2019-03-01 01:00:00.000000,A001,50
2019-03-01 02:00:00.000000,A001,132
2019-03-01 03:00:00.000000,A001,209
2019-03-01 04:00:00.000000,A001,53
2019-03-01 05:00:00.000000,A001,360
2019-03-01 06:00:00.000000,A001,345
2019-03-01 07:00:00.000000,A001,12
2019-03-01 08:00:00.000000,A001,1
2019-03-01 09:00:00.000000,A001,18
2019-03-01 10:00:00.000000,A001,37
2019-03-01 11:00:00.000000,A001,39
2019-03-01 12:00:00.000000,A001,352
2019-03-01 13:00:00.000000,A001,23
2019-03-01 14:00:00.000000,A001,59
2019-03-01 15:00:00.000000,A001,8
2019-03-01 16:00:00.000000,A001,357
2019-03-01 17:00:00.000000,A001,348
2019-03-01 18:00:00.000000,A001,340
2019-03-01 19:00:00.000000,A001,9
2019-03-01 20:00:00.000000,A001,360
2019-03-01 21:00:00.000000,A001,353
2019-03-01 22:00:00.000000,A001,329
2019-03-01 23:00:00.000000,A001,338
2019-03-02 00:00:00.000000,A001,326
2019-03-02 01:00:00.000000,A001,317
2019-03-02 02:00:00.000000,A001,326
2019-03-02 03:00:00.000000,A001,314
2019-03-02 04:00:00.000000,A001,334
2019-03-02 05:00:00.000000,A001,283
2019-03-02 06:00:00.000000,A001,287
2019-03-02 07:00:00.000000,A001,289
2019-03-02 08:00:00.000000,A001,288
2019-03-02 09:00:00.000000,A001,297
2019-03-02 10:00:00.000000,A001,340
2019-03-02 11:00:00.000000,A001,338
2019-03-02 12:00:00.000000,A001,351
2019-03-02 13:00:00.000000,A001,351
2019-03-02 14:00:00.000000,A001,315
2019-03-02 15:00:00.000000,A001,307
2019-03-02 16:00:00.000000,A001,338
2019-03-02 17:00:00.000000,A001,139
2019-03-02 18:00:00.000000,A001,157
2019-03-02 19:00:00.000000,A001,154
2019-03-02 20:00:00.000000,A001,230
2019-03-02 21:00:00.000000,A001,154
2019-03-02 22:00:00.000000,A001,145
2019-03-02 23:00:00.000000,A001,79
2019-03-03 00:00:00.000000,A001,341
2019-03-03 01:00:00.000000,A001,357
2019-03-03 02:00:00.000000,A001,27
2019-03-03 03:00:00.000000,A001,6
2019-03-03 04:00:00.000000,A001,315
2019-03-03 05:00:00.000000,A001,309
2019-03-03 06:00:00.000000,A001,60
2019-03-03 07:00:00.000000,A001,146
2019-03-03 08:00:00.000000,A001,126
2019-03-03 09:00:00.000000,A001,234
2019-03-03 10:00:00.000000,A001,340
2019-03-03 11:00:00.000000,A001,89
2019-03-03 12:00:00.000000,A001,72
2019-03-03 13:00:00.000000,A001,77
2019-03-03 14:00:00.000000,A001,50
2019-03-03 15:00:00.000000,A001,72
2019-03-03 16:00:00.000000,A001,62
2019-03-03 17:00:00.000000,A001,79
2019-03-03 18:00:00.000000,A001,358
2019-03-03 19:00:00.000000,A001,49
2019-03-03 20:00:00.000000,A001,65
2019-03-03 21:00:00.000000,A001,54
2019-03-03 22:00:00.000000,A001,18
2019-03-03 23:00:00.000000,A001,301
2019-03-04 00:00:00.000000,A001,294
2019-03-04 01:00:00.000000,A001,158
2019-03-04 02:00:00.000000,A001,204
2019-03-04 03:00:00.000000,A001,351
2019-03-04 04:00:00.000000,A001,318
2019-03-04 05:00:00.000000,A001,83
2019-03-04 06:00:00.000000,A001,107
2019-03-04 07:00:00.000000,A001,96
2019-03-04 08:00:00.000000,A001,90
2019-03-04 09:00:00.000000,A001,360
2019-03-04 10:00:00.000000,A001,330
2019-03-04 11:00:00.000000,A001,323
2019-03-04 12:00:00.000000,A001,345
2019-03-04 13:00:00.000000,A001,354
2019-03-04 14:00:00.000000,A001,340
2019-03-04 15:00:00.000000,A001,292
2019-03-04 16:00:00.000000,A001,353
2019-03-04 17:00:00.000000,A001,50
2019-03-04 18:00:00.000000,A001,17
2019-03-04 19:00:00.000000,A001,357
2019-03-04 20:00:00.000000,A001,30
2019-03-04 21:00:00.000000,A001,102
2019-03-04 22:00:00.000000,A001,116
2019-03-04 23:00:00.000000,A001,77
2019-03-05 00:00:00.000000,A001,86
2019-03-05 01:00:00.000000,A001,11
